Gene,Confidence,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YDR167W,0.170304,11,2398,1944,95,0.43952338129496404,0.0045662100456621,0.10377358490566038,0.5522800552740672,0.44771994472593274
YCL033C,0.170279,11,2397,1945,95,0.4397482014388489,0.004568106312292359,0.10377358490566038,0.5520497466605251,0.4479502533394749
YKR030W,0.170279,11,2396,1946,95,0.4399730215827338,0.004570004154549232,0.10377358490566038,0.551819438046983,0.44818056195301703
YOR030W,0.170279,11,2395,1947,95,0.4401978417266187,0.00457190357439734,0.10377358490566038,0.5515891294334409,0.4484108705665592
YMR156C,0.170279,11,2394,1948,95,0.4404226618705036,0.004573804573804574,0.10377358490566038,0.5513588208198986,0.4486411791801013
YGL014W,0.170279,11,2393,1949,95,0.44064748201438847,0.004575707154742097,0.10377358490566038,0.5511285122063565,0.4488714877936435
YDR394W,0.170279,11,2392,1950,95,0.4408723021582734,0.004577611319184353,0.10377358490566038,0.5508982035928144,0.4491017964071856
YNL163C,0.170279,11,2391,1951,95,0.44109712230215825,0.004579517069109076,0.10377358490566038,0.5506678949792723,0.4493321050207278
YPR138C,0.170279,11,2390,1952,95,0.44132194244604317,0.004581424406497293,0.10377358490566038,0.55043758636573,0.4495624136342699
YNR016C,0.169515,11,2389,1953,95,0.44154676258992803,0.004583333333333333,0.10377358490566038,0.5502072777521879,0.4497927222478121
YDR158W,0.169515,11,2388,1954,95,0.44177158273381295,0.004585243851604835,0.10377358490566038,0.5499769691386458,0.4500230308613542
YOL112W,0.169515,11,2387,1955,95,0.44199640287769787,0.0045871559633027525,0.10377358490566038,0.5497466605251037,0.4502533394748964
YDR085C,0.169515,11,2386,1956,95,0.44222122302158273,0.00458906967042136,0.10377358490566038,0.5495163519115615,0.4504836480884385
YJR073C,0.169254,11,2385,1957,95,0.44244604316546765,0.004590984974958264,0.10377358490566038,0.5492860432980193,0.45071395670198067
