Gene A,Gene B,Score
YJR065C,YKL194C,6.04425973789631e-14
YJR065C,YKR085C,3.5233449289368262e-15
YJR065C,YNL177C,1.0313596131336296e-19
YJR065C,YOR150W,6.534539433129339e-15
YJR065C,YDR268W,2.5139434736936965e-14
YJR065C,YMR193W,4.0332045530752907e-16
YJR065C,YGR076C,1.5630705555957307e-21
YJR065C,YBR282W,2.5279760737091447e-20
YJR065C,YNL081C,9.55316514265657e-18
YJR065C,YDR462W,2.998990922264966e-08
YJR065C,YMR024W,4.9443711955009915e-18
YJR065C,YKL138C,7.750053876226785e-21
YJR065C,YCR003W,8.224049878568487e-16
YJR065C,YML025C,1.001188606845893e-12
YJR065C,YMR286W,1.0991012669607483e-17
YJR065C,YDR322W,8.635815146481023e-15
YJR065C,YBR122C,4.5476507759198426e-14
YJR065C,YBR268W,7.736047913375899e-11
YJR065C,YKL170W,1.414009019465659e-13
YJR065C,YOR335C,6.564258858698935e-11
YJR065C,YML009C,1.2390709291931756e-10
YJR065C,YBR121C,6.561503192585143e-19
YJR065C,YPL173W,1.1984326387055254e-16
YJR065C,YMR225C,8.102514732560243e-15
YJR065C,YDR041W,8.428460633960223e-16
YJR065C,YJL096W,1.9678597045833265e-19
YJR065C,YER050C,6.823542382169978e-13
YJR065C,YNR022C,1.3765152640055854e-19
YJR065C,YNR037C,5.610888975660089e-10
YJR065C,YPR100W,4.483176830260508e-15
YJR065C,YKL155C,4.4824342503722845e-18
YJR065C,YHR147C,6.884684879485126e-13
YJR065C,YGL129C,7.734858043631485e-17
YJR065C,YDR237W,7.512075888076354e-19
YJR065C,YDR175C,1.6738839283332256e-18
YJR065C,YJL063C,2.166266610537093e-10
YJR065C,YIL093C,1.1225522667988007e-14
YJR065C,YJR101W,4.649281261766497e-15
YJR065C,YOL023W,9.598378292101442e-20
YJR065C,YGR215W,5.227518841490649e-18
YJR065C,YPL040C,1.582459245191598e-16
YJR065C,YNR036C,4.465123026875517e-07
YJR065C,YMR282C,5.773603573315175e-14
YJR065C,YPL013C,8.767154698853736e-16
YJR065C,YMR188C,2.7668777495695716e-22
YJR065C,YJR113C,3.0488962465824443e-09
YJR065C,YDR115W,1.5441387467388744e-17
YJR065C,YNL306W,8.590256977969446e-12
YJR065C,YDR337W,1.4329129549572883e-10
YJR065C,YGR165W,7.093359951378626e-24
YJR065C,YBR251W,4.973868522319081e-16
YJR065C,YMR158W,9.826094349466167e-23
YJR065C,YBR146W,1.9192602761512918e-14
YJR065C,YPL183W-A,0.009245902299880981
YJR065C,YCR046C,2.9779960719622522e-09
YJR065C,YCR071C,3.9492419886622346e-15
YJR065C,YHR011W,5.218784266586487e-21
YJR065C,YPL104W,8.41642702340781e-20
YJR065C,YNL137C,1.474316976352567e-23
YJR065C,YOL033W,1.0810062112963956e-15
YJR065C,YPR047W,9.663806501408539e-21
YJR065C,YBL080C,1.9943368137487205e-11
YJR065C,YOR158W,1.4362131834966306e-17
YJR065C,YLR139C,8.210125016904629e-14
YJR065C,YDR347W,1.5981442514842459e-12
YJR065C,YDL045W-A,6.879993103003912e-11
YJR065C,YNL073W,2.1329007191044672e-18
YJR065C,YGR084C,2.8915942924557076e-18
YJR065C,YKL003C,9.403418148312692e-12
YJR065C,YPR166C,1.7170887794105646e-15
YJR065C,YDR405W,3.553271026479794e-14
YCL044C,YHL004W,5.508598727854827e-15
YCL044C,YPL118W,6.863256482845985e-22
YCL044C,YNL005C,1.6105589344827534e-23
YCL044C,YHR091C,4.180150270938985e-23
YCL044C,YLR069C,1.172695279544976e-24
YCL044C,YDR116C,9.522251634501449e-23
YCL044C,YNL284C,8.190110112463778e-24
YCL044C,YDL202W,1.4280730645246188e-17
YCL044C,YKR006C,1.4358042189798256e-22
YCL044C,YLR312W-A,8.152845921217787e-20
YCL044C,YBL038W,7.508931857286102e-17
YCL044C,YNL252C,1.951952023617318e-17
YCL044C,YNL185C,1.1533220587256283e-23
YCL044C,YKL194C,6.559941105619189e-22
YCL044C,YKR085C,1.9552474471701864e-23
YCL044C,YNL177C,2.3392993425365815e-19
YCL044C,YOR150W,2.425874447932533e-23
YCL044C,YDR268W,2.095043668442261e-15
YCL044C,YMR193W,4.130770339285318e-24
YCL044C,YGR076C,4.997775016916618e-24
YCL044C,YBR282W,5.0021262947837265e-23
YCL044C,YNL081C,1.5899744126672137e-16
YCL044C,YDR462W,2.2894037045898063e-18
YCL044C,YMR024W,4.4205281794455866e-23
YCL044C,YKL138C,1.3437590765888603e-23
YCL044C,YCR003W,2.2758800434485475e-26
YCL044C,YML025C,1.4528787030656636e-22
YCL044C,YMR286W,5.230915493239976e-16
