Name,+/-,Score,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YJR017C,-1,7.66042069595848,151,3441,2986,5,0.4765304572383412,0.042037861915367486,0.967948717948718,0.5353975416212852,0.4646024583787148
YPL131W,-1,7.6593386623490645,151,3442,2985,5,0.47637855081269936,0.04202616198163095,0.967948717948718,0.5355531352108294,0.4644468647891707
YAL033W,-1,7.658659943379006,151,3443,2984,5,0.4762266443870576,0.04201446855870896,0.967948717948718,0.5357087288003735,0.4642912711996266
YNL145W,-1,7.648134749111093,151,3444,2983,5,0.47607473796141575,0.04200278164116829,0.967948717948718,0.5358643223899175,0.46413567761008245
YHR087W,-1,7.644471799204529,151,3445,2982,5,0.47592283153577397,0.04199110122358176,0.967948717948718,0.5360199159794616,0.46398008402053836
YPL149W,-1,7.63610528916619,151,3446,2981,5,0.47577092511013214,0.04197942730052822,0.967948717948718,0.5361755095690057,0.4638244904309942
YLR228C,-1,7.624375815622134,151,3447,2980,5,0.47561901868449036,0.04196775986659255,0.967948717948718,0.5363311031585498,0.46366889684145013
YOL052C-A,-1,7.620244582162322,151,3448,2979,5,0.4754671122588485,0.041956098916365654,0.967948717948718,0.536486696748094,0.46351330325190604
YMR149W,-1,7.610482209793985,151,3449,2978,5,0.47531520583320674,0.041944444444444444,0.967948717948718,0.5366422903376381,0.4633577096623619
YDR080W,-1,7.607426796041658,151,3450,2977,5,0.47516329940756497,0.041932796445431825,0.967948717948718,0.5367978839271822,0.4632021160728178
YFL030W,-1,7.600701546654594,151,3451,2976,5,0.47501139298192313,0.0419211549139367,0.967948717948718,0.5369534775167263,0.4630465224832737
YOR002W,-1,7.589925487741708,151,3452,2975,5,0.47485948655628135,0.041909519844573966,0.967948717948718,0.5371090711062704,0.46289092889372957
YMR009W,-1,7.5875289794149685,151,3453,2974,5,0.4747075801306395,0.04189789123196448,0.967948717948718,0.5372646646958146,0.4627353353041855
YPL179W,-1,7.580458901541064,151,3454,2973,5,0.47455567370499774,0.04188626907073509,0.967948717948718,0.5374202582853587,0.46257974171464133
YGR234W,-1,7.579179310289942,151,3455,2972,5,0.4744037672793559,0.04187465335551858,0.967948717948718,0.5375758518749028,0.46242414812509725
YKR088C,-1,7.576033980742255,151,3456,2971,5,0.4742518608537141,0.041863044080953704,0.967948717948718,0.5377314454644468,0.46226855453555316
